Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Abel	William		C	TX31	2024	5/12/2024	10060658
	Abolfazli	Maryam.		C	TN05	2024	5/13/2024	10060479
Mr.	Aboujaoude	Rock Adel	Jr.	C	FL12	2024	5/14/2024	10061019
	Adams	Jennifer		C	FL07	2024	5/30/2024	10062032
	Adams	Sheryl L.		W	CA49	2024	4/22/2024	7940
	Addington	Jacob Tay		W	NY22	2024	5/28/2024	7981
	Addington	Jacob Tay		X	NY22	2024	5/17/2024	30022163
Dr.	Adolph	Kiley		X	IN03	2024	4/23/2024	30020859
Dr.	Adolph	Kiley		X	IN03	2024	6/18/2024	30022294
	Agwan	Pervez S.		C	TX07	2024	6/12/2024	10062230
	Albertson-Corkery	Sarah Elaine		C	IA02	2024	6/14/2024	10058815
	Albertson-Corkery	Sarah Elaine		X	IA02	2024	5/14/2024	30021396
Dr.	Alexander	Myrtle Patricia		D	DC00	2024	1/31/2024	8220122
Hon.	Allen	Richard W.		P	GA12	2024	1/11/2024	20024277
Hon.	Allen	Richard W.		P	GA12	2024	2/16/2024	20024458
Hon.	Allen	Richard W.		P	GA12	2024	5/14/2024	20025031
Hon.	Allen	Richard W.		P	GA12	2024	6/21/2024	20025287
Dr.	Almonord	Valbrun		C	GA00	2024	2/16/2024	10056790
	Altekar	Girish		C	TX37	2024	3/24/2024	10056916
	Altman	Susan Copius		X	NJ07	2024	5/17/2024	30021861
	Anderson	Derrick		X	VA07	2024	4/23/2024	30020842
	Anderson	Diane		C	WI01	2024	7/1/2024	10062384
	Anderson	Elizabeth		C	AL06	2024	5/24/2024	10061977
	Andrews	Aliscia		C	VA10	2024	5/19/2024	10061159
	Andrews	Aliscia		X	VA10	2024	5/17/2024	30021747
Mr.	Andrews	Russ Albert		C	CO03	2024	6/19/2024	10061630
Mr.	Andrews	Russ Albert		X	CO03	2024	5/17/2024	30022024
	Ansari	Yassamin		X	AZ03	2024	5/17/2024	30021871
	Antropov	Jayden		D	FL22	2024	5/10/2024	40003638
	Armendariz-Jackson	Irene		C	TX16	2024	5/15/2024	10061443
Mr.	Armey	Scott		W		2024		8220253
	Armstead	Derek		C	NJ10	2024	6/21/2024	10062305
	Ashby	Stephan Blake		C	MO01	2024	6/18/2024	10062259
	Atkins	Joey David		X	FL26	2024	5/15/2024	8220326
	Atkinson	James Fredrick		C	PA11	2024	2/28/2024	10056839
	Austin	Kyle Ray		C	MT02	2024	3/7/2024	10056874
	Avlon	John		C	NY01	2024	5/26/2024	10056881
	Avlon	John		X	NY01	2024	3/13/2024	30019623
	Baccam	Lanon		X	IA03	2024	4/30/2024	30020954
Mr.	Bach	Kenneth James		C	PA14	2024	4/20/2024	10057765
	Backie	Robert		C	AZ01	2024	6/14/2024	10060401
	Backie	Robert		X	AZ01	2024	5/14/2024	30021419
	Baechler	Mary		D	WA04	2024	6/3/2024	40003664
	Baker	Arthur Radford	Jr.	C	MD03	2024	4/23/2024	10059065
	Baker	Dennis		C	OK01	2024	5/10/2024	10060536
Ms.	Baker	Karen G. H.		C	VA09	2024	5/15/2024	10061449
	Balekian	Alex Arto		C	CA30	2024	6/5/2024	10062108
	Banweg	Chris		C	OH13	2024	4/23/2024	10059052
	Barca	Peter		X	WI01	2024	5/8/2024	8220255
	Barr	Callie		C	MI01	2024	5/13/2024	10060921
Hon.	Barragan	Nanette		P	CA44	2024	3/27/2024	20024750
Hon.	Barragan	Nanette		P	CA44	2024	4/25/2024	20024923
	Barrett	Thomas More		C	MI07	2024	5/15/2024	10059519
	Barry	Megan		C	TN07	2024	5/4/2024	10059689
	Barsoom	Raafat		C	NJ11	2024	3/1/2024	10056848
	Baugh	Scott		C	CA47	2024	4/26/2024	10058947
	Baumgartner	Michael James		C	WA05	2024	3/24/2024	10056877
	Becker	Rick		C	ND00	2024	2/21/2024	10056708
	Bedell	Carl		C	VA07	2024	5/15/2024	10061382
	Begich	Nicholas	III	X	AK00	2024	5/14/2024	30021221
Mr.	Bell	Wesley		C	MO01	2024	6/21/2024	10062319
	Belnome	Joseph		C	NJ11	2024	3/15/2024	10056845
Mr.	Bennett	Jim		C	GA03	2024	4/18/2024	10057697
Hon.	Bentz	Cliff		P	OR02	2024	2/13/2024	20024492
	Bergmann	Charlotte		C	TN09	2024	5/16/2024	10061894
	Bernstein	Joby		W	CA16	2024	4/22/2024	7938
	Berry	Rodney		W	SC07	2024	3/4/2024	7923
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2024	3/31/2024	20024769
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2024	6/6/2024	20025133
	Bhalla	Ravi		X	NJ08	2024	5/17/2024	30021897
	Biggs	Sheri		C	SC03	2024	3/27/2024	10056896
	Biggs	Sheri		X	SC03	2024	2/21/2024	30019610
	Bird	Rod	Jr.	C	UT03	2024	5/26/2024	10061748
	Bird	Rod	Jr.	X	UT03	2024	5/17/2024	30022124
	Bishop	Kevin Daniel		C	SC03	2024	4/19/2024	10057496
	Blair	Raymond J.	Jr.	W		2024		8220198
	Blair	Raymond J.	Jr.	X	GA03	2024	2/27/2024	30019617
	Blalock	Clarence		C	GA14	2024	4/6/2024	10056974
	Blewett	David		C	TX32	2024	2/5/2024	10056727
	Blood	Carol		C	NE01	2024	4/15/2024	10057341
	Blood	Carol		X	NE01	2024	2/27/2024	30019616
Hon.	Blumenauer	Earl		P	OR03	2024	1/4/2024	20024254
Hon.	Blumenauer	Earl		P	OR03	2024	3/2/2024	20024580
Hon.	Blumenauer	Earl		P	OR03	2024	3/12/2024	20024671
Hon.	Blumenauer	Earl		P	OR03	2024	4/4/2024	20024797
Hon.	Blumenauer	Earl		P	OR03	2024	5/4/2024	20024984
Hon.	Blumenauer	Earl		P	OR03	2024	6/6/2024	20025194
Hon.	Blumenauer	Earl		P	OR03	2024	6/6/2024	20025219
	Bogner	Ken		C	MT02	2024	3/24/2024	10056927
	Bohan	Patrick		C	CO07	2024	4/26/2024	10057692
	Bohannan	Christina		X	IA01	2024	5/14/2024	30021575
	Bohman	Rachel		X	MN01	2024	3/20/2024	30019626
	Bondar	Paul		C	OK04	2024	6/14/2024	8220512
Mr.	Booras	John		C	IL03	2024	5/19/2024	10060905
	Boudreaux	Michael		C	CA20	2024	4/5/2024	10056950
	Bousbar	Sabrina		C	FL13	2024	3/1/2024	10056834
Dr.	Bowman	Bruce A.		C	MO03	2024	5/2/2024	10059578
	Bowman	John		W	MO05	2024	4/19/2024	7934
Mr.	Bowman	Thomas William		D	MN02	2024	5/10/2024	40003639
	Boyd	Stephen		C	MN07	2024	5/15/2024	10061379
	Boyda	Nancy E.		C	KS02	2024	7/3/2024	10062369
	Boysko	Jennifer		C	VA10	2024	5/16/2024	10060346
Mr.	Braunston	Peter Alan		C	FL18	2024	5/14/2024	10060591
	Breslin	Karen R.		W	CO04	2024	5/13/2024	7964
	Bresnahan	Rob		X	PA08	2024	4/30/2024	30020918
	Briody	Patrick James		C	AZ08	2024	5/11/2024	10059269
	Bristow	Nigel William		C	NC09	2024	6/15/2024	10062283
	Brown	Leigh		X	NC08	2024	4/23/2024	30019829
	Brown	Michael A.		X	DC00	2024	5/17/2024	30021876
	Bucco	Carmen		C	NJ10	2024	3/27/2024	10056934
Hon.	Buck	Kenneth R.		T	CO04	2024	6/19/2024	10056983
Hon.	Buck	Kenneth R.		X	CO04	2024	4/8/2024	30019636
	Buckhout	Laurie		C	NC01	2024	5/14/2024	10059953
Hon.	Burgess	Michael C.		P	TX26	2024	1/8/2024	20024265
Hon.	Burgess	Michael C.		P	TX26	2024	1/22/2024	20024330
Hon.	Burgess	Michael C.		P	TX26	2024	2/5/2024	20024437
Hon.	Burgess	Michael C.		P	TX26	2024	3/7/2024	20024627
Hon.	Burgess	Michael C.		P	TX26	2024	3/22/2024	20024722
Hon.	Burgess	Michael C.		P	TX26	2024	4/10/2024	20024838
Hon.	Burgess	Michael C.		P	TX26	2024	5/2/2024	20024966
	Burnett	Debby		W	CO03	2024	5/20/2024	7978
	Busch	Emily		X	MI10	2024	5/17/2024	30022154
	Buskirk	Paul		C	KS01	2024	5/12/2024	10060629
	Butierez	Daniel		C	AZ07	2024	4/19/2024	10058788
	Bynum	Janelle		X	OR05	2024	5/17/2024	30021662
	Calvarese	Trisha		C	NV04	2024	5/15/2024	10061127
Ms.	Camp	Lori Ann		C	IN02	2024	4/6/2024	10056857
	Campbell	Bill		C	UT01	2024	4/1/2024	10056952
	Cantrell	George Allen		C	GA03	2024	3/30/2024	10056947
	Carrier	Jamison		C	IN06	2024	4/7/2024	10056837
	Carris	Jim		X	IL10	2024	5/15/2024	8220335
Hon.	Carter	Earl Leroy		P	GA01	2024	6/12/2024	20025257
Hon.	Carter	Earl Leroy		P	GA01	2024	6/28/2024	20025349
Dr.	Casey	Michael Arthur		W	MN04	2024	4/29/2024	7950
Hon.	Casten	Sean		P	IL06	2024	1/16/2024	20023805
	Castillo	Jose		X	FL09	2024	5/17/2024	30022169
Hon.	Castor	Kathy		P	FL14	2024	3/28/2024	20024754
	Castro	Dustin		W	CO04	2024	2/1/2024	7917
	Catala	Ryan Joshua		W	TX12	2024	4/19/2024	7933
Mrs.	Centonze	Lana		C	TX18	2024	5/5/2024	10059791
	Cerezo Swaffar	Darlene		X	FL23	2024	5/17/2024	30022012
	Chalifoux	Thomas E.	Jr.	X	FL09	2024	5/14/2024	30021480
	Chappelle-Nadal	Maria Ms		X	MO01	2024	5/17/2024	30022178
	Chappelle-Nadal	Maria Ms		X	MO01	2024	6/18/2024	30022313
	Chaudhry	Melissa		C	WA09	2024	7/3/2024	10061008
	Chaudhry	Melissa		X	WA09	2024	5/17/2024	30021680
	Chaudhry-Ahmad	Jamil O.		C	OR01	2024	4/14/2024	10057006
	Chen	Anita S.		X	CA17	2024	5/14/2024	30021199
	Cheng	Austin Franklin		W	NY03	2024	4/24/2024	7946
	Cherny	Andrei		X	AZ01	2024	4/23/2024	30019824
	Choharis	Peter Charles		C	MD06	2024	4/14/2024	10056997
	Chowdhury	Mohammed Mohiuddin		C	NY06	2024	5/15/2024	10061385
	Christian	Jerrad Shane		C	OH12	2024	4/18/2024	10057696
Hon.	Chu	Judy		P	CA28	2024	1/21/2024	20024347
Dr.	Chu	Weiming David		W	CA47	2024	4/19/2024	7935
	Cisneros	Gilbert		X	CA31	2024	4/23/2024	30019836
	Clahchischilliage	Sharon E.		C	NM03	2024	6/1/2024	10061837
	Clahchischilliage	Sharon E.		X	NM03	2024	5/17/2024	30022173
	Clancy	Mike		C	VA10	2024	5/16/2024	10061854
Hon.	Clark	Katherine M.		P	MA05	2024	2/12/2024	20024435
Hon.	Clark	Katherine M.		P	MA05	2024	3/5/2024	20024588
Hon.	Clark	Katherine M.		P	MA05	2024	4/4/2024	20024795
	Clatterbuck	Thomas		W	IL13	2024	5/2/2024	7953
	Cleveland	Scott		C	ID02	2024	2/6/2024	10056732
Mr.	Coester	C. Mark		C	VT00	2024	5/10/2024	10060476
	Cohen	Seth Alan		C	IL09	2024	6/21/2024	10062332
Hon.	Cohen	Steve		P	TN09	2024	1/4/2024	20024188
Hon.	Cohen	Steve		P	TN09	2024	2/28/2024	20024540
	Cohn	Joseph		C	NJ03	2024	3/28/2024	10056902
	Cohn	Joseph		X	NJ03	2024	2/21/2024	30019609
Mrs.	Coleman	Octavia		D	GA13	2024	2/5/2024	40003599
	Collier	Matt		X	MI08	2024	5/15/2024	8220339
Hon.	Collins	Michael A.		P	GA10	2024	1/9/2024	20024275
Hon.	Collins	Michael A.		P	GA10	2024	6/14/2024	20025282
	Compton	William Dakota		C	KY02	2024	4/18/2024	10057759
Dr.	Conaway	Herb		C	NJ03	2024	5/15/2024	10061839
	Conforti	Niki		C	IL06	2024	5/13/2024	10060691
Hon.	Connolly	Gerald E.		P	VA11	2024	3/22/2024	20024728
Hon.	Connolly	Gerald E.		P	VA11	2024	7/5/2024	20025404
	Cook	Vaughn R.		C	UT04	2024	5/14/2024	10061335
	Cooper	David Charles		W	GA09	2024	4/30/2024	7952
	Cooper	Kelly		C	AZ04	2024	5/15/2024	10060928
	Cooper	Kelly		X	AZ04	2024	5/17/2024	30021651
	Cooper	Terri Kay		C	WA05	2024	5/11/2024	10060596
	Coplen	Rick		W	PA10	2024	5/14/2024	7967
	Corsetti	Todd Alan		D	ID02	2024	3/21/2024	40003616
	Corvi	Steven J.		A	RI02	2024	4/25/2024	10059152
	Corvi	Steven J.		C	RI02	2024	4/25/2024	10056993
	Cotter Smasal	Missy		C	VA02	2024	5/12/2024	10060625
	Coughlin	Kevin		X	OH13	2024	5/14/2024	30021516
	Cox	Amy		C	OH10	2024	5/12/2024	10060627
	Crabb	Vincent Darrell		C	TX25	2024	2/5/2024	10056719
	Craighill-Middleton	Anduin Elim		X	NC06	2024	5/17/2024	30022121
